127.0.0.1 - - [17/Sep/2016:23:45:04 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:45:09 -0500] "GET /advanced-jaxrs-03 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:45:11 -0500] "GET /advanced-jaxrs-03/ HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:45:33 -0500] "GET /advanced-jaxrs-03/webapi/test HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:55:34 -0500] "GET /advanced-jaxrs-03 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:55:34 -0500] "GET /advanced-jaxrs-03/ HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:56:39 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:58:19 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:58:20 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:58:20 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:58:20 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:58:21 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:58:21 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:58:21 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:58:21 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:58:21 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:58:21 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:58:22 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:58:22 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:58:22 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:58:22 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:58:22 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:58:23 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:58:23 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [17/Sep/2016:23:58:23 -0500] "GET /advanced-jaxrs-03/webapi/param_value/test?query=queryValue HTTP/1.1" 200 63
